depth,station,sig_type,insitu,GLDAS,residual
3,19,seasontrans_edate_dry2wet_p,20-Mar-14,NaT,NaN
3,19,seasontrans_edate_dry2wet_p,NaT,NaT,NaN
3,19,seasontrans_edate_dry2wet_p,6-Jun-16,8-Jun-16,2
3,19,seasontrans_edate_dry2wet_p,11-May-17,4-Aug-17,85
3,19,seasontrans_edate_dry2wet_p,4-Jun-18,28-May-18,-7
3,19,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
3,19,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
3,19,seasontrans_edate_dry2wet_l,16-Jun-08,6-Jun-08,-10
3,19,seasontrans_edate_dry2wet_l,NaT,7-Oct-09,NaN
3,19,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
3,19,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
3,19,seasontrans_edate_dry2wet_l,15-Feb-12,NaT,NaN
3,19,seasontrans_edate_dry2wet_l,7-Feb-13,NaT,NaN
3,19,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
3,19,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
3,19,seasontrans_edate_dry2wet_l,5-Jun-16,30-Jun-16,25
3,19,seasontrans_edate_dry2wet_l,NaT,NaT,NaN
3,19,seasontrans_edate_dry2wet_l,23-Jun-18,28-May-18,-26
3,20,seasontrans_sdate_wet2dry_p,25-Jul-06,21-Nov-06,119
3,20,seasontrans_sdate_wet2dry_p,11-Aug-07,7-Aug-07,-4
3,20,seasontrans_sdate_wet2dry_p,10-Sep-08,23-Jul-08,-49
3,20,seasontrans_sdate_wet2dry_p,4-Oct-09,25-Aug-09,-40
3,20,seasontrans_sdate_wet2dry_p,5-Sep-10,16-Sep-10,11
3,20,seasontrans_sdate_wet2dry_p,12-Oct-11,22-Aug-11,-51
3,20,seasontrans_sdate_wet2dry_p,5-Sep-12,3-Sep-12,-2
3,20,seasontrans_sdate_wet2dry_p,20-Oct-13,3-Oct-13,-17
3,20,seasontrans_sdate_wet2dry_p,NaT,NaT,NaN
3,20,seasontrans_sdate_wet2dry_p,6-Jun-15,9-Jun-15,3
3,20,seasontrans_sdate_wet2dry_p,4-Oct-16,15-Oct-16,11
3,20,seasontrans_sdate_wet2dry_p,12-Dec-17,17-Dec-17,5
3,20,seasontrans_sdate_wet2dry_p,20-Nov-18,1-Jul-18,-142
3,20,seasontrans_sdate_wet2dry_l,29-Jul-06,23-Nov-06,117
3,20,seasontrans_sdate_wet2dry_l,12-Aug-07,21-Aug-07,9
3,20,seasontrans_sdate_wet2dry_l,NaT,26-Jul-08,NaN
3,20,seasontrans_sdate_wet2dry_l,24-Sep-09,25-Aug-09,-30
3,20,seasontrans_sdate_wet2dry_l,5-Aug-10,19-Aug-10,14
3,20,seasontrans_sdate_wet2dry_l,31-Aug-11,24-Aug-11,-7
3,20,seasontrans_sdate_wet2dry_l,5-Sep-12,5-Sep-12,0
3,20,seasontrans_sdate_wet2dry_l,NaT,NaT,NaN
3,20,seasontrans_sdate_wet2dry_l,NaT,NaT,NaN
3,20,seasontrans_sdate_wet2dry_l,31-May-15,24-May-15,-7
3,20,seasontrans_sdate_wet2dry_l,13-Sep-16,14-Oct-16,31
3,20,seasontrans_sdate_wet2dry_l,17-Dec-17,18-Dec-17,1
3,20,seasontrans_sdate_wet2dry_l,14-Nov-18,26-Jun-18,-141
3,20,seasontrans_edate_wet2dry_p,11-Oct-06,29-Nov-06,49
3,20,seasontrans_edate_wet2dry_p,10-Oct-07,2-Sep-07,-38
3,20,seasontrans_edate_wet2dry_p,18-Oct-08,12-Sep-08,-36
3,20,seasontrans_edate_wet2dry_p,15-Nov-09,18-Sep-09,-58
3,20,seasontrans_edate_wet2dry_p,25-Sep-10,3-Oct-10,8
3,20,seasontrans_edate_wet2dry_p,25-Oct-11,15-Sep-11,-40
3,20,seasontrans_edate_wet2dry_p,21-Dec-12,28-Sep-12,-84
3,20,seasontrans_edate_wet2dry_p,21-Mar-14,26-Feb-14,-23
3,20,seasontrans_edate_wet2dry_p,NaT,NaT,NaN
3,20,seasontrans_edate_wet2dry_p,28-Nov-15,1-Nov-15,-27
3,20,seasontrans_edate_wet2dry_p,15-Dec-16,11-Nov-16,-34
3,20,seasontrans_edate_wet2dry_p,26-Dec-17,24-Dec-17,-2
3,20,seasontrans_edate_wet2dry_p,22-Feb-19,24-Sep-18,-151
3,20,seasontrans_edate_wet2dry_l,16-Oct-06,29-Nov-06,44
3,20,seasontrans_edate_wet2dry_l,9-Oct-07,28-Aug-07,-42
3,20,seasontrans_edate_wet2dry_l,NaT,17-Sep-08,NaN
3,20,seasontrans_edate_wet2dry_l,27-Nov-09,21-Sep-09,-67
3,20,seasontrans_edate_wet2dry_l,18-Dec-10,25-Dec-10,7
3,20,seasontrans_edate_wet2dry_l,25-Dec-11,13-Sep-11,-103
3,20,seasontrans_edate_wet2dry_l,24-Dec-12,28-Sep-12,-87
3,20,seasontrans_edate_wet2dry_l,NaT,NaT,NaN
3,20,seasontrans_edate_wet2dry_l,NaT,NaT,NaN
3,20,seasontrans_edate_wet2dry_l,7-Dec-15,17-Dec-15,10
3,20,seasontrans_edate_wet2dry_l,7-Jan-17,14-Nov-16,-54
3,20,seasontrans_edate_wet2dry_l,11-Feb-18,24-Dec-17,-49
3,20,seasontrans_edate_wet2dry_l,25-Feb-19,5-Oct-18,-143
3,20,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
3,20,seasontrans_sdate_dry2wet_p,17-Jan-07,27-Jan-07,10
3,20,seasontrans_sdate_dry2wet_p,22-Feb-08,9-Apr-08,47
3,20,seasontrans_sdate_dry2wet_p,21-Jan-09,17-Feb-09,27
3,20,seasontrans_sdate_dry2wet_p,29-Dec-09,3-May-10,125
3,20,seasontrans_sdate_dry2wet_p,NaT,NaT,NaN
