sid,lon,lat,alt,depth (cm),station_name,instrument
59,-109.95,47.05,1297.23,5.08,Moccasin,Hydraprobe-Analog-(2.5-Volt)
60,-120.55463,36.54417,266.7,5.08,MonoclineRidge,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
61,-110.4,40.367,2118.36,5.08,MountainHome,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
62,-104.733,40.867,1798.32,5.08,Nunn#1,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
63,-104.733,40.867,1798.32,5.08,Nunn#1,Hydraprobe-Analog-(5.0-Volt)
64,-116.0,43.32,970.89,5.08,OrchardRangeSite,Hydraprobe-Analog-(2.5-Volt)
65,-112.433,37.867,1997.96,5.08,Panguitch,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
66,-113.267,41.767,1554.48,5.08,ParkValley,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
67,-115.2,36.567,2063.5,5.08,PineNut,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
68,-117.617,39.467,2193.95,5.08,PorterCanyon,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
69,-102.033,33.617,1015.9,5.08,ReeseCenter,Hydraprobe-Analog-(2.5-Volt)-A
70,-102.033,33.617,1015.9,5.08,ReeseCenter,Hydraprobe-Analog-(2.5-Volt)
71,-119.44,41.9,1786.13,5.08,SHELDON,Hydraprobe-Analog-(2.5-Volt)-A
72,-119.44,41.9,1786.13,5.08,SHELDON,Hydraprobe-Analog-(2.5-Volt)-B
73,-119.44,41.9,1786.13,5.08,SHELDON,Hydraprobe-Analog-(5.0-Volt)
74,-119.44,41.9,1786.13,5.08,SHELDON,Hydraprobe-Analog-(5.0-Volt)-A
75,-119.44,41.9,1786.13,5.08,SHELDON,Hydraprobe-Analog-(5.0-Volt)-B
76,-100.51,31.55,600.63,5.08,SanAngelo,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
77,-113.35,37.1,969.26,5.08,SandHollow,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
78,-106.683,34.35,1595.02,5.08,Sevilleta,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
79,-115.72,35.47,1096.42,5.08,ShadowMtns,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
80,-104.25,47.767,693.12,5.08,Sidney,Hydraprobe-Analog-(2.5-Volt)-A
81,-104.25,47.767,693.12,5.08,Sidney,Hydraprobe-Analog-(2.5-Volt)
82,-109.35,40.383,1474.93,5.08,SplitMountain,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
83,-111.267,37.517,1627.02,5.08,Spooky,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
84,-119.47831,34.97018,912.88,5.08,Stubblefield,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
85,-115.8,36.367,2392.07,5.08,TroughSprings,Hydraprobe-Digital-Sdi-12-(2.5-Volt)-A
86,-115.8,36.367,2392.07,5.08,TroughSprings,Hydraprobe-Digital-Sdi-12-(2.5-Volt)-B
87,-113.467,39.233,1396.9,5.08,TuleValley,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
88,-112.2,37.183,1944.93,5.08,Vermillion,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
89,-111.183,48.433,982.98,5.08,Violett,Hydraprobe-Analog-(2.5-Volt)
90,-110.05,31.733,1371.6,5.08,WalnutGulch#1,Hydraprobe-Analog-(2.5-Volt)
91,-103.633,33.533,1382.88,5.08,WillowWells,Hydraprobe-Analog-(2.5-Volt)
