depth,station,sig_type,insitu,GLDAS,residual
5.08,5,seasontrans_duration_wet2dry_p,7.375107,12.758325,5.383218
5.08,5,seasontrans_duration_wet2dry_p,36.125234,13.019969,-23.105265
5.08,5,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
5.08,5,seasontrans_duration_wet2dry_p,4.040341,16.473035,12.432694
5.08,5,seasontrans_duration_wet2dry_p,NaN,11.724174,NaN
5.08,5,seasontrans_duration_wet2dry_p,16.724192,108.903982,92.17979
5.08,5,seasontrans_duration_wet2dry_l,52,12,-40
5.08,5,seasontrans_duration_wet2dry_l,10,97,87
5.08,5,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5.08,5,seasontrans_duration_wet2dry_l,3,13,10
5.08,5,seasontrans_duration_wet2dry_l,3,10,7
5.08,5,seasontrans_duration_wet2dry_l,16,163,147
5.08,5,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,5,seasontrans_duration_dry2wet_p,126.363086,16.022153,-110.340933
5.08,5,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,5,seasontrans_duration_dry2wet_p,11.999998,7.400997,-4.599001
5.08,5,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,5,seasontrans_duration_dry2wet_p,4.757694,9.861982,5.104288
5.08,5,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,5,seasontrans_duration_dry2wet_l,8,8,0
5.08,5,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,5,seasontrans_duration_dry2wet_l,70,2,-68
5.08,5,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,5,seasontrans_duration_dry2wet_l,4,4,0
5.08,9,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
5.08,9,seasontrans_duration_wet2dry_p,47.433792,37.440833,-9.992959
5.08,9,seasontrans_duration_wet2dry_p,43.934661,89.538366,45.603705
5.08,9,seasontrans_duration_wet2dry_p,10.000215,NaN,NaN
5.08,9,seasontrans_duration_wet2dry_p,3.845684,81.464172,77.618488
5.08,9,seasontrans_duration_wet2dry_p,27.581675,23.893052,-3.688623
5.08,9,seasontrans_duration_wet2dry_p,15.07723,NaN,NaN
5.08,9,seasontrans_duration_wet2dry_p,106.535048,39.328401,-67.206647
5.08,9,seasontrans_duration_wet2dry_p,68.661702,4.743848,-63.917854
5.08,9,seasontrans_duration_wet2dry_p,8.450318,44.261002,35.810684
5.08,9,seasontrans_duration_wet2dry_p,NaN,93.044856,NaN
5.08,9,seasontrans_duration_wet2dry_p,31.419924,64.922536,33.502612
5.08,9,seasontrans_duration_wet2dry_p,31.872121,36.153362,4.281241
5.08,9,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5.08,9,seasontrans_duration_wet2dry_l,55,35,-20
5.08,9,seasontrans_duration_wet2dry_l,123,120,-3
5.08,9,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5.08,9,seasontrans_duration_wet2dry_l,3,52,49
5.08,9,seasontrans_duration_wet2dry_l,84,18,-66
5.08,9,seasontrans_duration_wet2dry_l,17,NaN,NaN
5.08,9,seasontrans_duration_wet2dry_l,104,35,-69
5.08,9,seasontrans_duration_wet2dry_l,181,4,-177
5.08,9,seasontrans_duration_wet2dry_l,41,141,100
5.08,9,seasontrans_duration_wet2dry_l,NaN,104,NaN
5.08,9,seasontrans_duration_wet2dry_l,NaN,16,NaN
5.08,9,seasontrans_duration_wet2dry_l,35,187,152
5.08,9,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,9,seasontrans_duration_dry2wet_p,8.579845,66.81039,58.230545
5.08,9,seasontrans_duration_dry2wet_p,84.167726,47.744891,-36.422835
5.08,9,seasontrans_duration_dry2wet_p,100.672329,NaN,NaN
5.08,9,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,9,seasontrans_duration_dry2wet_p,24.106495,26.403114,2.296619
5.08,9,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,9,seasontrans_duration_dry2wet_p,4.991216,NaN,NaN
5.08,9,seasontrans_duration_dry2wet_p,17.849163,10.99145,-6.857713
5.08,9,seasontrans_duration_dry2wet_p,39.673841,18.078694,-21.595147
5.08,9,seasontrans_duration_dry2wet_p,NaN,117.099287,NaN
5.08,9,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,9,seasontrans_duration_dry2wet_p,6.73915,139.367378,132.628228
5.08,9,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,9,seasontrans_duration_dry2wet_l,2,5,3
5.08,9,seasontrans_duration_dry2wet_l,119,125,6
5.08,9,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,9,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,9,seasontrans_duration_dry2wet_l,245,1,-244
5.08,9,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,9,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,9,seasontrans_duration_dry2wet_l,57,11,-46
5.08,9,seasontrans_duration_dry2wet_l,157,17,-140
5.08,9,seasontrans_duration_dry2wet_l,NaN,167,NaN
5.08,9,seasontrans_duration_dry2wet_l,1,NaN,NaN
5.08,9,seasontrans_duration_dry2wet_l,NaN,224,NaN
5.08,10,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
5.08,10,seasontrans_duration_wet2dry_p,52.233035,26.254419,-25.978616
5.08,10,seasontrans_duration_wet2dry_p,45.224818,11.065647,-34.159171
5.08,10,seasontrans_duration_wet2dry_p,59.09996,31.080598,-28.019362
5.08,10,seasontrans_duration_wet2dry_p,117.319718,NaN,NaN
5.08,10,seasontrans_duration_wet2dry_p,67.259651,33.847345,-33.412306
5.08,10,seasontrans_duration_wet2dry_p,91.374908,NaN,NaN
5.08,10,seasontrans_duration_wet2dry_p,44.520182,4.898304,-39.621878
5.08,10,seasontrans_duration_wet2dry_p,20.476237,18.801382,-1.674855
5.08,10,seasontrans_duration_wet2dry_p,22.559984,18.462987,-4.096997
5.08,10,seasontrans_duration_wet2dry_p,14.277311,54.528023,40.250712
5.08,10,seasontrans_duration_wet2dry_p,90.302739,NaN,NaN
5.08,10,seasontrans_duration_wet2dry_p,144.898887,104.700731,-40.198156
5.08,10,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5.08,10,seasontrans_duration_wet2dry_l,61,25,-36
5.08,10,seasontrans_duration_wet2dry_l,63,12,-51
5.08,10,seasontrans_duration_wet2dry_l,67,3,-64
5.08,10,seasontrans_duration_wet2dry_l,153,NaN,NaN
5.08,10,seasontrans_duration_wet2dry_l,69,42,-27
5.08,10,seasontrans_duration_wet2dry_l,101,NaN,NaN
5.08,10,seasontrans_duration_wet2dry_l,128,5,-123
5.08,10,seasontrans_duration_wet2dry_l,NaN,16,NaN
5.08,10,seasontrans_duration_wet2dry_l,160,17,-143
5.08,10,seasontrans_duration_wet2dry_l,66,70,4
5.08,10,seasontrans_duration_wet2dry_l,108,16,-92
5.08,10,seasontrans_duration_wet2dry_l,NaN,116,NaN
5.08,10,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,10,seasontrans_duration_dry2wet_p,80.678609,8.447414,-72.231195
5.08,10,seasontrans_duration_dry2wet_p,73.108863,4.126968,-68.981895
5.08,10,seasontrans_duration_dry2wet_p,115.210526,NaN,NaN
5.08,10,seasontrans_duration_dry2wet_p,86.789486,NaN,NaN
5.08,10,seasontrans_duration_dry2wet_p,128.292701,9.580162,-118.712539
5.08,10,seasontrans_duration_dry2wet_p,229.135295,NaN,NaN
5.08,10,seasontrans_duration_dry2wet_p,40.115258,15.73447,-24.380788
5.08,10,seasontrans_duration_dry2wet_p,82.127284,4.168951,-77.958333
5.08,10,seasontrans_duration_dry2wet_p,118.4034,NaN,NaN
5.08,10,seasontrans_duration_dry2wet_p,77.955533,6.141817,-71.813716
5.08,10,seasontrans_duration_dry2wet_p,NaN,70.417349,NaN
5.08,10,seasontrans_duration_dry2wet_p,34.391439,6.265744,-28.125695
5.08,10,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,10,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,10,seasontrans_duration_dry2wet_l,86,NaN,NaN
5.08,10,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,10,seasontrans_duration_dry2wet_l,153,NaN,NaN
5.08,10,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,10,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,10,seasontrans_duration_dry2wet_l,117,15,-102
5.08,10,seasontrans_duration_dry2wet_l,19,3,-16
5.08,10,seasontrans_duration_dry2wet_l,135,1,-134
5.08,10,seasontrans_duration_dry2wet_l,NaN,199,NaN
5.08,10,seasontrans_duration_dry2wet_l,NaN,92,NaN
5.08,10,seasontrans_duration_dry2wet_l,26,3,-23
5.08,11,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
5.08,11,seasontrans_duration_wet2dry_p,144.439677,100.999999,-43.439678
5.08,11,seasontrans_duration_wet2dry_p,46.526127,24.255438,-22.270689
5.08,11,seasontrans_duration_wet2dry_p,110.349422,49.707761,-60.641661
5.08,11,seasontrans_duration_wet2dry_p,77.455025,55.66787,-21.787155
5.08,11,seasontrans_duration_wet2dry_p,37.93014,59.658762,21.728622
5.08,11,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5.08,11,seasontrans_duration_wet2dry_l,191,110,-81
5.08,11,seasontrans_duration_wet2dry_l,59,28,-31
5.08,11,seasontrans_duration_wet2dry_l,120,171,51
5.08,11,seasontrans_duration_wet2dry_l,70,54,-16
5.08,11,seasontrans_duration_wet2dry_l,43,188,145
5.08,11,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,11,seasontrans_duration_dry2wet_p,16,NaN,NaN
5.08,11,seasontrans_duration_dry2wet_p,101.093587,101.897876,0.804289
5.08,11,seasontrans_duration_dry2wet_p,86.274323,76.900009,-9.374314
5.08,11,seasontrans_duration_dry2wet_p,15.094126,6.591642,-8.502484
5.08,11,seasontrans_duration_dry2wet_p,152.175241,102.810681,-49.36456
5.08,11,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,11,seasontrans_duration_dry2wet_l,16,NaN,NaN
5.08,11,seasontrans_duration_dry2wet_l,133,164,31
5.08,11,seasontrans_duration_dry2wet_l,100,91,-9
5.08,11,seasontrans_duration_dry2wet_l,NaN,1,NaN
5.08,11,seasontrans_duration_dry2wet_l,226,128,-98
5.08,14,seasontrans_duration_wet2dry_p,9.196429,NaN,NaN
5.08,14,seasontrans_duration_wet2dry_p,9.384401,NaN,NaN
5.08,14,seasontrans_duration_wet2dry_p,76.263935,21.627078,-54.636857
5.08,14,seasontrans_duration_wet2dry_p,9.159451,11.63829,2.478839
5.08,14,seasontrans_duration_wet2dry_p,42.406505,10.463987,-31.942518
5.08,14,seasontrans_duration_wet2dry_p,NaN,11.58523,NaN
5.08,14,seasontrans_duration_wet2dry_p,94.492321,35.150125,-59.342196
5.08,14,seasontrans_duration_wet2dry_l,13,NaN,NaN
5.08,14,seasontrans_duration_wet2dry_l,28,NaN,NaN
5.08,14,seasontrans_duration_wet2dry_l,92,36,-56
5.08,14,seasontrans_duration_wet2dry_l,223,16,-207
5.08,14,seasontrans_duration_wet2dry_l,NaN,11,NaN
5.08,14,seasontrans_duration_wet2dry_l,16,10,-6
5.08,14,seasontrans_duration_wet2dry_l,118,75,-43
5.08,14,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,14,seasontrans_duration_dry2wet_p,56.999999,NaN,NaN
5.08,14,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,14,seasontrans_duration_dry2wet_p,103.758868,33.040798,-70.71807
5.08,14,seasontrans_duration_dry2wet_p,31.04541,145.794204,114.748794
5.08,14,seasontrans_duration_dry2wet_p,46.254683,NaN,NaN
5.08,14,seasontrans_duration_dry2wet_p,9.274439,6.565705,-2.708734
5.08,14,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,14,seasontrans_duration_dry2wet_l,49,NaN,NaN
5.08,14,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,14,seasontrans_duration_dry2wet_l,67,1,-66
5.08,14,seasontrans_duration_dry2wet_l,NaN,247,NaN
5.08,14,seasontrans_duration_dry2wet_l,139,1,-138
5.08,14,seasontrans_duration_dry2wet_l,6,NaN,NaN
5.08,15,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
5.08,15,seasontrans_duration_wet2dry_p,42.649181,15.675604,-26.973577
5.08,15,seasontrans_duration_wet2dry_p,20.29158,10.85446,-9.43712
5.08,15,seasontrans_duration_wet2dry_p,9.31107,4.840102,-4.470968
5.08,15,seasontrans_duration_wet2dry_p,26.145939,15.514651,-10.631288
5.08,15,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
5.08,15,seasontrans_duration_wet2dry_p,194.652239,5.193859,-189.45838
5.08,15,seasontrans_duration_wet2dry_p,25.5406,NaN,NaN
5.08,15,seasontrans_duration_wet2dry_p,7.80334,6.061074,-1.742266
5.08,15,seasontrans_duration_wet2dry_p,5.632609,4.060335,-1.572274
5.08,15,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5.08,15,seasontrans_duration_wet2dry_l,43,142,99
5.08,15,seasontrans_duration_wet2dry_l,16,9,-7
5.08,15,seasontrans_duration_wet2dry_l,9,3,-6
5.08,15,seasontrans_duration_wet2dry_l,25,15,-10
5.08,15,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5.08,15,seasontrans_duration_wet2dry_l,NaN,4,NaN
5.08,15,seasontrans_duration_wet2dry_l,22,NaN,NaN
5.08,15,seasontrans_duration_wet2dry_l,8,6,-2
5.08,15,seasontrans_duration_wet2dry_l,NaN,3,NaN
5.08,15,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,15,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,15,seasontrans_duration_dry2wet_p,21.000001,4.755213,-16.244788
5.08,15,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,15,seasontrans_duration_dry2wet_p,4.546017,9.058458,4.512441
5.08,15,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,15,seasontrans_duration_dry2wet_p,4.514027,NaN,NaN
5.08,15,seasontrans_duration_dry2wet_p,5.135288,NaN,NaN
5.08,15,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,15,seasontrans_duration_dry2wet_p,NaN,6.153638,NaN
5.08,15,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,15,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,15,seasontrans_duration_dry2wet_l,19,1,-18
5.08,15,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,15,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,15,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,15,seasontrans_duration_dry2wet_l,NaN,1,NaN
5.08,15,seasontrans_duration_dry2wet_l,120,NaN,NaN
5.08,15,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,15,seasontrans_duration_dry2wet_l,2,1,-1
5.08,19,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
5.08,19,seasontrans_duration_wet2dry_p,36.242136,161.482161,125.240025
5.08,19,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5.08,19,seasontrans_duration_wet2dry_l,144,NaN,NaN
5.08,19,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,19,seasontrans_duration_dry2wet_p,58.497799,12.892631,-45.605168
5.08,19,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,19,seasontrans_duration_dry2wet_l,79,13,-66
5.08,21,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
5.08,21,seasontrans_duration_wet2dry_p,60.928482,53.905584,-7.022898
5.08,21,seasontrans_duration_wet2dry_p,119.43186,23.693806,-95.738054
5.08,21,seasontrans_duration_wet2dry_p,111.664237,57.309912,-54.354325
5.08,21,seasontrans_duration_wet2dry_p,112.864515,19.053534,-93.810981
5.08,21,seasontrans_duration_wet2dry_p,54.843956,NaN,NaN
5.08,21,seasontrans_duration_wet2dry_p,120.249091,77.982224,-42.266867
5.08,21,seasontrans_duration_wet2dry_p,34.262793,NaN,NaN
5.08,21,seasontrans_duration_wet2dry_p,30.47595,21.438628,-9.037322
5.08,21,seasontrans_duration_wet2dry_p,19.353129,27.88966,8.536531
5.08,21,seasontrans_duration_wet2dry_p,47.042262,61.761958,14.719696
5.08,21,seasontrans_duration_wet2dry_p,NaN,23.606993,NaN
5.08,21,seasontrans_duration_wet2dry_p,185.000951,103.169989,-81.830962
5.08,21,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5.08,21,seasontrans_duration_wet2dry_l,68,49,-19
5.08,21,seasontrans_duration_wet2dry_l,144,18,-126
5.08,21,seasontrans_duration_wet2dry_l,136,64,-72
5.08,21,seasontrans_duration_wet2dry_l,151,65,-86
5.08,21,seasontrans_duration_wet2dry_l,61,NaN,NaN
5.08,21,seasontrans_duration_wet2dry_l,133,83,-50
5.08,21,seasontrans_duration_wet2dry_l,147,NaN,NaN
5.08,21,seasontrans_duration_wet2dry_l,112,NaN,NaN
5.08,21,seasontrans_duration_wet2dry_l,25,110,85
5.08,21,seasontrans_duration_wet2dry_l,104,181,77
5.08,21,seasontrans_duration_wet2dry_l,NaN,57,NaN
5.08,21,seasontrans_duration_wet2dry_l,NaN,123,NaN
5.08,21,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,21,seasontrans_duration_dry2wet_p,89.396877,228.684428,139.287551
5.08,21,seasontrans_duration_dry2wet_p,73.213559,109.302004,36.088445
5.08,21,seasontrans_duration_dry2wet_p,59.684827,75.558337,15.87351
5.08,21,seasontrans_duration_dry2wet_p,106.154267,56.443001,-49.711266
5.08,21,seasontrans_duration_dry2wet_p,5.258929,NaN,NaN
5.08,21,seasontrans_duration_dry2wet_p,4.297924,NaN,NaN
5.08,21,seasontrans_duration_dry2wet_p,8.000829,NaN,NaN
5.08,21,seasontrans_duration_dry2wet_p,4.797086,15.999978,11.202892
5.08,21,seasontrans_duration_dry2wet_p,92.373641,71.166851,-21.20679
5.08,21,seasontrans_duration_dry2wet_p,63.299275,43.69404,-19.605235
5.08,21,seasontrans_duration_dry2wet_p,NaN,48.866828,NaN
5.08,21,seasontrans_duration_dry2wet_p,NaN,56.999572,NaN
5.08,21,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,21,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,21,seasontrans_duration_dry2wet_l,235,111,-124
5.08,21,seasontrans_duration_dry2wet_l,NaN,42,NaN
5.08,21,seasontrans_duration_dry2wet_l,235,58,-177
5.08,21,seasontrans_duration_dry2wet_l,95,NaN,NaN
5.08,21,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,21,seasontrans_duration_dry2wet_l,135,NaN,NaN
5.08,21,seasontrans_duration_dry2wet_l,170,NaN,NaN
5.08,21,seasontrans_duration_dry2wet_l,75,NaN,NaN
5.08,21,seasontrans_duration_dry2wet_l,149,1,-148
5.08,21,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,21,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,22,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
5.08,22,seasontrans_duration_wet2dry_p,79.985227,119.444174,39.458947
5.08,22,seasontrans_duration_wet2dry_p,187.490206,90.160957,-97.329249
5.08,22,seasontrans_duration_wet2dry_p,123.31678,120.195368,-3.121412
5.08,22,seasontrans_duration_wet2dry_p,162.321149,169.999998,7.678849
5.08,22,seasontrans_duration_wet2dry_p,90.30596,64.85963,-25.44633
5.08,22,seasontrans_duration_wet2dry_p,96.867531,39.558955,-57.308576
5.08,22,seasontrans_duration_wet2dry_p,151.529703,NaN,NaN
5.08,22,seasontrans_duration_wet2dry_p,21.83296,21.299112,-0.533848
5.08,22,seasontrans_duration_wet2dry_p,136.381558,21.06664,-115.314918
5.08,22,seasontrans_duration_wet2dry_p,147.578964,107.000127,-40.578837
5.08,22,seasontrans_duration_wet2dry_p,44.999884,35.818959,-9.180925
5.08,22,seasontrans_duration_wet2dry_p,147.91887,98.579031,-49.339839
5.08,22,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5.08,22,seasontrans_duration_wet2dry_l,149,149,0
5.08,22,seasontrans_duration_wet2dry_l,244,108,-136
5.08,22,seasontrans_duration_wet2dry_l,152,147,-5
5.08,22,seasontrans_duration_wet2dry_l,194,162,-32
