Network,Depth,"Start of wetting (GLDAS-insitu, days)","End of wetting (GLDAS-insitu, days)","Start of drying (GLDAS-insitu, days)","End of drying (GLDAS-insitu, days)"
Oznet,2.50 cm,-18 37,-0 28,14 31,28 42
Oznet,4.00 cm,NaN NaN,NaN NaN,NaN NaN,NaN NaN
Oznet,Basin average,-25 51,-35 59,11 28,14 59
USCRN,5.00 cm,-16 58,-7 61,-15 45,2 53
USCRN,Basin average,-9 52,12 89,-48 29,-26 51
SCAN,5.08 cm,-16 62,9 71,-39 43,-5 49
SCAN,Basin average,5 48,7 63,-45 31,-29 49
U.S. watersheds,U.S. watersheds,-16 61,6 69,-32 45,-3 51
All watersheds,All watersheds,-16 59,5 67,-28 46,-0 51
